,Channel,Surevy year,Degree,Degree year,Nationality,Career (Aspiration or current),Crypto type,Crypto usage purpose,Crypto knowledge,Crypto usage duration (years),Trade performance,Remittance amount (%),Crypto knowledge source,Influenced family and friends,Intend to use crypto in future
1762,f2f,2023,STEM,MSc,China,Technology,ETH,"trade,remittance",+++,1-3,--,25,family,Y,Y
1763,online,2020,Humanities,MSc,USA,Engineering,"BTC,ALT",remittance,+++,5+,,25,marketing,N,N
1764,online,2021,STEM,MSc,Africa,Engineering,BTC,"trade,remittance",+,1,,100,family,Y,N
1765,online,2021,STEM,MSc,ME,Technology,BTC,"trade,remittance",,5+,-,100,family,Y,Y
1766,f2f,2021,Business,3rd,Turkey,,BTC,"remittance,trans",+++,1-3,,25,study/research,N,Y
1767,online,2022,STEM,MSc,China,Finance,ALT,"remittance,trans",+++,1,,50,study/research,Y,Y
1768,online,2021,STEM,MSc,ME,Retail,DOGE,trade,++,1,--,,marketing,Y,N
1769,online,2020,Business,Phd,China,Technology,ALT,"remittance,trans",+++,1,,75,study/research,Y,Y
1770,online,2020,STEM,MSc,Turkey,Technology,"BTC,ETH","trade,remittance",++,1-3,-,25,marketing,N,Y
1771,online,2021,STEM,PhD,China,Technology,ETH,"trade,remittance",+++,1,-,25,friends,Y,Y
1772,online,2024,Business,3rd,Turkey,Technology,"BTC,ALT","remittance,trans",++,,,75,study/research,Y,N
1773,f2f,2020,Humanities,1st,Turkey,Legal,ETH,remittance,++,5+,,25,family,N,N
1774,online,2022,Business,2nd,South America,Finance,BTC,"trade,remittance,trans",++,1-3,,100,family,N,Y
1775,online,2023,STEM,MSc,Africa,Technology,"BTC,ETH","trade,remittance",+++,5+,++,75,family,N,N
1776,online,2022,STEM,PhD,Turkey,Finance,"ETH,NFT,ALT","remittance,trans",++,,,25,study/research,Y,N
1777,online,2021,STEM,MSc,Turkey,Engineering,"BTC,ETH","trade,remittance",,4-5,,25,family,Y,N
1778,online,2022,Humanities,1st,Turkey,Medical,ETH,remittance,+++,4-5,,50,family,Y,Y
1779,online,2024,Humanities,3rd,South America,Public,"BTC,NFT,DOGE",trade,+++,1,+,,marketing,N,Y
1780,online,2023,Humanities,3rd,Europe,Medical,BTC,trade,+,1,+,,marketing,Y,Y
1781,online,2023,Business,3rd,Turkey,Finance,BTC,"remittance,trans",+++,11,,50,family,N,Y
1782,online,2021,STEM,1st,China,Medical,"BTC,ALT",remittance,++,,,75,friends,Y,Y
1783,online,2023,Business,1st,China,Finance,"BTC,ALT","remittance,trans",+++,11,,100,study/research,Y,Y
1784,f2f,2021,Humanities,2nd,Turkey,,ETH,trade,++,1,-,,study/research,Y,N
1785,online,2024,STEM,PhD,India,Technology,"BTC,ETH","trade,remittance,trans",++,4-5,+,50,family,Y,Y
1786,online,2024,STEM,MSc,Europe,Medical,NFT,"trade,remittance",+,1,++,50,family,Y,Y
1787,online,2020,Humanities,MSc,USA,Medical,"BTC,ALT",remittance,+++,4-5,,25,marketing,N,Y
1788,online,2020,Business,3rd,India,Technology,ALT,"remittance,trans",+++,1,,50,marketing,Y,Y
1789,f2f,2024,Business,MSc,Europe,Technology,"BTC,ALT","remittance,trans",++,1,,75,family,Y,Y
1790,online,2020,STEM,PhD,Africa,Technology,,remittance,++,1-3,,75,friends,N,Y
1791,online,2020,STEM,MSc,USA,Retail,"BTC,ALT",remittance,+++,5+,,100,family,N,Y
1792,online,2024,STEM,MSc,UK,Finance,BTC,trade,++,1,+++,,friends,Y,Y
1793,f2f,2020,STEM,PhD,Africa,Retail,"BTC,DOGE",trade,++,1,++,,marketing,Y,Y
1794,online,2022,Business,2nd,Turkey,Engineering,"BTC,DOGE",remittance,+++,11-3,,50,family,N,Y
1795,online,2020,STEM,PhD,ME,Finance,"BTC,ETH",trade,++,1,,,friends,Y,Y
1796,online,2023,STEM,3rd,India,Engineering,ETH,"trade,remittance,trans",+++,1-3,+,25,friends,Y,Y
1797,f2f,2020,STEM,PhD,Africa,Technology,"BTC,ETH","trade,remittance,trans",+++,4-5,+++,25,marketing,Y,Y
1798,online,2021,Business,MSc,Africa,Technology,"BTC,ETH","trade,remittance",+++,4-5,++,,family,Y,Y
1799,online,2021,Business,PhD,Africa,Medical,BTC,"trade,remittance",+,1-3,,,family,N,Y
1800,f2f,2021,Humanities,1st,ME,Finance,ETH,remittance,+,,,75,friends,Y,N
1801,f2f,2021,STEM,PhD,Turkey,Finance,NFT,"trade,remittance",+++,,-,75,study/research,Y,Y
1802,online,2022,Humanities,2nd,Africa,Technology,"NFT,ALT",remittance,+,1,,25,marketing,N,Y
1803,f2f,2020,Humanities,2nd,Africa,Medical,"BTC,ETH",remittance,++,1-3,,50,study/research,Y,N
1804,online,2023,Business,Phd,Turkey,,"BTC,ETH",remittance,+++,1-3,,25,marketing,Y,N
1805,online,2021,STEM,MSc,Turkey,Medical,NFT,"trade,remittance",+++,5+,,25,family,Y,Y
1806,f2f,2024,STEM,MSc,ME,Finance,"BTC,ETH","trade,remittance",,4-5,--,,family,Y,Y
1807,f2f,2022,Humanities,2nd,Africa,Public,"BTC,NFT,ALT",trade,++,1,--,,marketing,Y,Y
1808,f2f,2020,Humanities,3rd,USA,Retail,"BTC,ALT",remittance,+++,1,,25,study/research,Y,Y
1809,online,2024,STEM,3rd,Turkey,,"BTC,ETH",remittance,+++,1-3,,75,marketing,Y,Y
1810,online,2020,Humanities,PhD,USA,,"BTC,ALT",trade,++,1-3,+,,friends,Y,Y
1811,f2f,2020,STEM,PhD,Europe,Retail,BTC,trade,+++,1,--,,study/research,Y,N
1812,online,2024,STEM,Phd,South America,Technology,ALT,"remittance,trans",++,1,,100,friends,Y,Y
1813,online,2020,STEM,MSc,USA,Legal,"ETH,DOGE",remittance,+++,1-3,,25,marketing,N,N
1814,online,2022,Business,2nd,USA,Retail,"BTC,NFT",remittance,+++,1-3,,25,marketing,Y,Y
1815,online,2024,Business,1st,USA,Finance,ALT,"remittance,trans",++,1-3,,50,family,Y,Y
1816,online,2024,Business,MSc,Turkey,Finance,"BTC,DOGE","remittance,trans",+++,4-5,,100,study/research,N,Y
1817,f2f,2023,Business,3rd,South America,Medical,"BTC,ALT","remittance,trans",+++,4-5,,100,family,N,Y
1818,f2f,2021,STEM,MSc,Africa,Finance,ETH,trade,++,4-5,--,,study/research,Y,Y
1819,f2f,2020,Humanities,MSc,Europe,Engineering,"NFT,ALT",remittance,+++,1-31-3,,25,marketing,N,Y
1820,online,2021,STEM,PhD,China,Technology,"BTC,ETH","trade,remittance",,5+,,100,marketing,Y,N
1821,online,2022,STEM,MSc,China,Technology,BTC,"trade,remittance",+++,4-5,-,75,marketing,Y,Y
1822,online,2023,STEM,1st,China,Medical,"ETH,DOGE","remittance,trans",+++,1,,75,family,N,Y
1823,online,2024,STEM,MSc,Europe,Retail,ETH,"trade,remittance,trans",,,++,100,family,N,N
1824,f2f,2024,Humanities,Phd,China,Finance,"ETH,NFT,ALT","remittance,trans",++,4-5,,50,study/research,Y,Y
1825,online,2021,STEM,3rd,Europe,Finance,"BTC,ETH,ALT",trade,+++,1-3,+,,friends,Y,N
1826,f2f,2024,STEM,2nd,ME,Technology,BTC,"trade,remittance,trans",++,1-3,--,75,marketing,Y,N
1827,online,2021,STEM,MSc,Turkey,Technology,NFT,"trade,remittance",++,1,++,25,family,N,Y
1828,online,2023,STEM,PhD,South America,Medical,NFT,"trade,remittance",+++,5+,++,25,marketing,Y,Y
1829,online,2021,Humanities,1st,China,Legal,"BTC,NFT,DOGE",trade,++,1,+,,friends,Y,N
1830,online,2022,Humanities,2nd,Turkey,Medical,"BTC,NFT,DOGE",trade,++,1,--,,study/research,Y,N
1831,online,2020,Humanities,1st,USA,Technology,"BTC,ETH,NFT",trade,+,1,--,,marketing,N,N
1832,f2f,2020,Humanities,MSc,USA,Public,"BTC,ALT",remittance,++,1-3,,75,marketing,N,Y
1833,online,2023,Business,1st,ME,,"BTC,ETH",trade,++,4-5,--,,marketing,Y,Y
1834,online,2022,STEM,2nd,Turkey,,"BTC,ETH",trade,++,1,-,,study/research,Y,Y
1835,f2f,2024,Business,MSc,Turkey,Technology,"BTC,DOGE",remittance,+,,,75,friends,N,Y
1836,online,2022,STEM,1st,Africa,Medical,"BTC,DOGE",remittance,+++,4-5,,75,marketing,Y,Y
1837,f2f,2022,Humanities,3rd,South America,Technology,"BTC,ETH",remittance,+++,4-5,,50,friends,Y,Y
1838,f2f,2023,Humanities,1st,USA,Legal,"BTC,ALT",remittance,+,1,,100,marketing,Y,N
1839,online,2022,STEM,1st,ME,,"BTC,NFT",remittance,+++,1,,75,friends,N,Y
1840,f2f,2021,STEM,PhD,Europe,Technology,"NFT,ALT",trade,+++,5+,++,,study/research,Y,Y
1841,online,2021,Humanities,1st,USA,Finance,"BTC,ALT","remittance,trans",+++,1,,25,study/research,Y,Y
1842,f2f,2021,STEM,MSc,UK,Engineering,DOGE,trade,+++,5+,+,,study/research,Y,Y
1843,online,2021,Business,MSc,USA,Technology,ALT,"remittance,trans",+++,1,,50,study/research,Y,Y
1844,f2f,2024,Business,MSc,South America,Technology,ETH,"remittance,trans",++,,,25,friends,Y,N
1845,online,2024,STEM,PhD,USA,Medical,BTC,remittance,+++,,,75,marketing,Y,Y
1846,online,2021,Humanities,MSc,India,Legal,"BTC,ALT","remittance,trans",+++,,,50,marketing,Y,Y
1847,f2f,2021,Business,PhD,UK,Engineering,ETH,trade,++,4-5,+,,friends,Y,Y
1848,online,2021,STEM,MSc,ME,Medical,,"trade,remittance",+++,1,,,family,N,Y
1849,f2f,2024,Business,3rd,China,Technology,BTC,"trade,remittance,trans",++,4-5,,75,marketing,Y,Y
1850,online,2021,STEM,PhD,Turkey,Finance,"BTC,ETH","trade,remittance",+,4-5,,,marketing,Y,Y
1851,f2f,2023,STEM,MSc,South America,Retail,ETH,"trade,remittance,trans",++,4-5,,50,family,Y,Y
1852,online,2021,STEM,2nd,China,Finance,DOGE,"trade,remittance,trans",+++,1-3,+++,25,family,Y,Y
1853,online,2023,Humanities,MSc,USA,Medical,BTC,remittance,+++,1-31-3,,75,marketing,Y,Y
1854,online,2023,STEM,3rd,China,Technology,BTC,remittance,++,4-5,,75,family,N,Y
1855,online,2020,STEM,MSc,China,Finance,ETH,"trade,remittance,trans",++,1-3,++,75,family,Y,Y
1856,online,2023,STEM,MSc,Africa,Medical,"BTC,ETH","trade,remittance",,4-5,,25,marketing,Y,Y
1857,online,2022,Business,MSc,Europe,Technology,"BTC,NFT","trade,remittance",+++,1,-,25,family,Y,Y
1858,online,2022,Business,3rd,Turkey,Technology,"BTC,ALT","remittance,trans",++,4-5,,100,study/research,Y,N
1859,f2f,2024,STEM,3rd,Europe,Engineering,"ETH,ALT",trade,++,1-3,,,study/research,Y,Y
1860,f2f,2021,STEM,PhD,UK,Engineering,BTC,trade,+++,4-5,+,,study/research,N,Y
1861,online,2021,Humanities,1st,USA,Technology,"BTC,NFT",trade,+,1,,,friends,Y,Y
1862,online,2023,Business,2nd,India,,ETH,remittance,+++,1,,75,study/research,N,Y
1863,f2f,2020,Business,Phd,Europe,Finance,"BTC,ALT","remittance,trans",++,4-5,,75,family,Y,N
1864,online,2023,STEM,3rd,Africa,Finance,"BTC,ETH","trade,remittance,trans",+++,1-3,+,75,family,N,Y
1865,online,2024,Business,3rd,India,Technology,ALT,"remittance,trans",++,4-5,,25,study/research,Y,Y
1866,online,2021,STEM,PhD,Europe,Medical,"BTC,NFT,DOGE",trade,+,1,-,,family,Y,Y
1867,online,2024,Humanities,MSc,Europe,Technology,ALT,"remittance,trans",+++,1,,100,marketing,Y,Y
1868,online,2021,Humanities,1st,USA,Legal,BTC,"remittance,trans",+++,1-3,,25,marketing,Y,Y
1869,online,2024,Business,MSc,ME,,ETH,trade,++,1-3,--,,study/research,Y,Y
1870,f2f,2021,Business,3rd,USA,Finance,"BTC,ALT",remittance,++,,,25,friends,N,Y
1871,online,2023,STEM,PhD,India,Finance,BTC,"trade,remittance",+++,1-3,-,,family,N,N
1872,online,2022,Business,MSc,China,Technology,ALT,"remittance,trans",++,5+,,25,study/research,Y,Y
1873,f2f,2023,Humanities,3rd,Turkey,,ALT,"remittance,trans",+++,1,,50,family,Y,Y
1874,online,2021,Business,PhD,China,Medical,ETH,"trade,remittance",++,4-5,++,50,study/research,N,N
1875,f2f,2021,Business,2nd,Turkey,,"ETH,ALT",trade,++,1,--,,study/research,Y,Y
1876,online,2020,Business,Phd,Turkey,Public,"BTC,ALT",remittance,+++,1-31-3,,25,marketing,N,Y
1877,online,2020,Humanities,3rd,USA,Technology,BTC,remittance,++,1,,25,marketing,N,Y
1878,online,2020,Humanities,1st,China,,"BTC,NFT,DOGE",trade,+,1-3,-,,marketing,Y,N
1879,f2f,2023,STEM,3rd,ME,Engineering,"ETH,DOGE",remittance,++,1,,75,marketing,N,Y
1880,online,2021,Business,1st,ME,Retail,,trade,+++,1,+,,marketing,Y,Y
1881,online,2023,Humanities,1st,South America,Finance,"BTC,ALT","remittance,trans",+++,1,,75,friends,Y,N
1882,online,2021,Humanities,2nd,Africa,,"BTC,ETH,ALT",remittance,+++,1,,100,family,Y,Y
1883,online,2021,STEM,PhD,Europe,Finance,BTC,trade,+++,1-3,-,,study/research,Y,N
1884,online,2021,Humanities,MSc,USA,Medical,BTC,remittance,++,1-3,,75,family,Y,Y
1885,f2f,2020,STEM,PhD,South America,Engineering,"BTC,ETH",remittance,+,4-5,,75,study/research,Y,N
1886,online,2022,Humanities,2nd,Africa,Retail,BTC,trade,+,1,+,,marketing,N,N
1887,online,2023,Business,3rd,China,Technology,BTC,"trade,remittance,trans",+++,,--,,marketing,Y,Y
1888,online,2022,STEM,3rd,Africa,Medical,"BTC,DOGE",remittance,++,1-3,,100,friends,Y,Y
1889,f2f,2022,STEM,MSc,South America,Finance,ETH,"trade,remittance,trans",+++,1-3,++,75,marketing,Y,Y
1890,f2f,2022,STEM,3rd,China,,"BTC,NFT",remittance,++,,,75,friends,N,Y
1891,online,2023,STEM,3rd,South America,Finance,"BTC,ETH","trade,remittance,trans",,,++,,family,Y,N
1892,f2f,2024,Humanities,Phd,South America,Legal,BTC,"remittance,trans",+++,1,,50,family,Y,Y
1893,online,2023,Humanities,3rd,ME,Retail,BTC,trade,+,1,,,marketing,N,Y
1894,online,2022,STEM,2nd,Europe,Retail,"BTC,ETH",trade,+,1,--,,study/research,N,N
1895,online,2023,Business,PhD,China,Technology,DOGE,"trade,remittance,trans",+++,1-3,+++,75,family,Y,N
1896,f2f,2020,Humanities,1st,Europe,Public,"BTC,DOGE",trade,+,1,--,,friends,Y,N
1897,online,2023,Humanities,1st,USA,Public,"BTC,ALT","remittance,trans",+++,1-3,,75,study/research,Y,Y
1898,online,2024,STEM,Phd,South America,Finance,ALT,"remittance,trans",++,,,50,family,Y,N
1899,online,2020,Humanities,3rd,Africa,Medical,"BTC,ETH",remittance,++,1,,25,study/research,Y,Y
1900,online,2022,Humanities,2nd,South America,Engineering,"BTC,ALT",remittance,++,1-3,,25,family,Y,N
1901,online,2020,STEM,2nd,Turkey,Engineering,BTC,remittance,++,11-3,,50,marketing,N,Y
1902,online,2024,Business,2nd,Europe,Medical,"BTC,ETH,ALT",trade,+,1,+,,friends,Y,N
1903,f2f,2020,Humanities,1st,China,Medical,DOGE,trade,+++,1-3,,,marketing,Y,N
1904,f2f,2021,STEM,PhD,UK,Engineering,BTC,trade,+++,1-3,--,,study/research,Y,Y
1905,online,2024,Business,3rd,India,Technology,"BTC,ALT","remittance,trans",+++,4-5,,75,friends,Y,Y
1906,f2f,2021,STEM,PhD,Europe,Engineering,"BTC,ETH",trade,+++,1,,,study/research,N,Y
1907,online,2024,Business,3rd,USA,Technology,"BTC,DOGE","remittance,trans",++,1-3,,25,study/research,N,Y
1908,online,2024,STEM,3rd,Turkey,Technology,ALT,"remittance,trans",+++,11,,100,study/research,Y,Y
1909,online,2021,STEM,3rd,Turkey,Finance,"BTC,ETH",remittance,++,1,,50,friends,Y,Y
1910,online,2023,Business,MSc,China,Finance,"BTC,ETH","trade,remittance,trans",++,1-3,++,,study/research,Y,N
1911,f2f,2022,STEM,2nd,Turkey,,"BTC,DOGE",remittance,++,1-3,,100,friends,Y,Y
1912,f2f,2021,STEM,3rd,China,Technology,BTC,trade,+++,1-3,,,study/research,Y,Y
1913,online,2020,STEM,PhD,Africa,Engineering,"ETH,ALT",trade,+++,1-3,+++,,study/research,Y,N
1914,online,2021,STEM,MSc,Turkey,Engineering,"BTC,NFT","trade,remittance",,1,,100,study/research,Y,Y
1915,f2f,2021,STEM,MSc,USA,Technology,DOGE,"trade,remittance",++,1,+++,100,study/research,N,N
1916,f2f,2024,STEM,PhD,China,Finance,"BTC,NFT","trade,remittance",+++,,+,25,family,N,N
1917,f2f,2020,STEM,MSc,Turkey,Engineering,BTC,"trade,remittance",+,5+,-,,friends,Y,Y
1918,online,2024,Business,1st,ME,,"NFT,ALT",trade,+,1-3,,,friends,Y,N
1919,f2f,2022,STEM,MSc,ME,Finance,DOGE,trade,+,1,--,,marketing,N,Y
1920,f2f,2024,STEM,PhD,Europe,Retail,BTC,remittance,+++,1,,100,marketing,Y,N
1921,f2f,2020,Humanities,2nd,USA,Public,ETH,remittance,+++,1-3,,50,marketing,Y,N
1922,online,2020,STEM,MSc,South America,Finance,ETH,"trade,remittance",+,1,--,100,marketing,N,Y
1923,online,2024,STEM,MSc,South America,Engineering,ALT,"remittance,trans",+++,1-3,,25,study/research,Y,Y
1924,online,2021,STEM,MSc,Turkey,Technology,"BTC,ETH","trade,remittance",+++,5+,--,75,marketing,Y,Y
1925,online,2021,Business,MSc,Turkey,,"BTC,ETH",trade,++,1-3,--,,study/research,N,Y
1926,online,2024,Business,3rd,India,Public,"BTC,ALT","remittance,trans",+++,1,,50,family,Y,Y
1927,online,2024,Business,MSc,China,Finance,BTC,"trade,remittance,trans",,,++,75,study/research,Y,Y
1928,online,2024,Business,PhD,ME,Engineering,BTC,"trade,remittance,trans",+++,1-3,++,50,family,Y,Y
1929,online,2024,Humanities,MSc,Turkey,Legal,"BTC,ALT","remittance,trans",++,4-5,,75,study/research,Y,Y
1930,online,2023,STEM,PhD,Turkey,Engineering,"BTC,ALT",trade,++,5+,++,,friends,Y,Y
1931,online,2024,Business,3rd,ME,Medical,BTC,remittance,+,11-3,,50,friends,N,Y
1932,online,2021,Business,MSc,Africa,Medical,NFT,"trade,remittance",+++,,+,,family,N,Y
1933,online,2023,Business,MSc,South America,Finance,NFT,"trade,remittance,trans",++,1-3,-,25,family,Y,Y
1934,f2f,2021,STEM,3rd,UK,Finance,"BTC,ETH",trade,++,4-5,+++,,study/research,Y,N
1935,f2f,2024,Humanities,Phd,Turkey,Technology,"BTC,ALT","remittance,trans",++,4-5,,50,marketing,N,Y
1936,online,2024,STEM,1st,South America,Engineering,,remittance,++,1,,75,study/research,Y,Y
1937,online,2022,STEM,PhD,ME,Engineering,ETH,remittance,+,1,,50,study/research,Y,Y
1938,online,2021,Business,1st,ME,Retail,NFT,trade,+++,1,,,friends,N,N
1939,f2f,2022,STEM,PhD,ME,Finance,NFT,trade,+++,1,++,,marketing,N,Y
1940,online,2023,Business,MSc,Europe,Technology,NFT,"trade,remittance",,1-3,++,100,family,N,N
1941,online,2021,STEM,MSc,USA,Engineering,,"trade,remittance",++,1,++,75,family,Y,N
1942,online,2023,Business,MSc,ME,Legal,"BTC,ETH,NFT",trade,+,1,+,,study/research,Y,Y
1943,online,2021,STEM,3rd,South America,Engineering,"BTC,ETH","trade,remittance,trans",+++,1-3,++,50,family,N,Y
1944,f2f,2022,STEM,PhD,Turkey,Retail,BTC,"trade,remittance",+,1-3,,75,marketing,Y,Y
1945,online,2024,Humanities,1st,USA,Retail,"BTC,ALT","remittance,trans",++,1-3,,25,study/research,Y,Y
1946,online,2021,Business,PhD,South America,Medical,"BTC,ETH,ALT","remittance,trans",++,1,,50,family,Y,Y
1947,online,2023,Business,3rd,USA,Medical,BTC,"remittance,trans",++,4-5,,100,marketing,Y,Y
1948,online,2021,STEM,MSc,India,Technology,BTC,"trade,remittance",+++,5+,,,family,Y,Y
1949,f2f,2023,Business,PhD,South America,Technology,NFT,"trade,remittance,trans",+++,,--,75,marketing,Y,Y
1950,online,2022,STEM,MSc,Turkey,Technology,ALT,"remittance,trans",+++,1,,25,friends,N,Y
1951,f2f,2021,STEM,MSc,Europe,Finance,"BTC,ETH,NFT",trade,+++,1,-,,study/research,Y,Y
1952,f2f,2022,STEM,PhD,ME,Engineering,DOGE,"trade,remittance",+,,--,25,family,N,Y
1953,online,2024,Business,3rd,South America,Finance,BTC,"remittance,trans",++,1,,75,friends,Y,Y
1954,online,2021,Business,PhD,Turkey,Medical,"BTC,ETH",trade,+++,1,--,,friends,Y,Y
1955,online,2022,Business,3rd,ME,,"BTC,ETH",remittance,++,,,75,friends,N,Y
1956,online,2024,Business,Phd,Europe,Legal,"BTC,ALT","remittance,trans",++,,,50,study/research,Y,N
1957,online,2021,STEM,PhD,China,Finance,DOGE,trade,++,1,,,friends,Y,Y
1958,online,2024,Business,2nd,Turkey,Technology,"BTC,ETH","trade,remittance,trans",,1-3,++,25,family,Y,N
1959,f2f,2021,Business,PhD,Europe,Engineering,NFT,trade,++,5+,-,,friends,Y,Y
1960,online,2021,STEM,PhD,UK,Finance,"ETH,ALT",trade,++,5+,+++,,friends,Y,Y
1961,online,2020,Business,1st,Turkey,Retail,"ETH,DOGE","remittance,trans",+++,1,,25,friends,Y,Y
1962,online,2022,STEM,1st,ME,Finance,ETH,remittance,+++,,,100,friends,Y,N
1963,online,2022,STEM,MSc,Turkey,Technology,ETH,"trade,remittance",+++,4-5,+,75,marketing,Y,N
1964,f2f,2022,Humanities,MSc,USA,Technology,,"remittance,trans",++,,,100,study/research,Y,N
1965,online,2021,STEM,PhD,ME,Technology,ETH,"trade,remittance",+++,4-5,+++,,family,N,Y
1966,f2f,2023,Humanities,PhD,Africa,Finance,,trade,++,1-3,--,,study/research,Y,N
1967,online,2023,Humanities,3rd,USA,Medical,BTC,remittance,+++,1-3,,25,marketing,N,Y
1968,f2f,2022,STEM,2nd,Turkey,Engineering,ETH,remittance,+,4-5,,100,friends,Y,Y
1969,online,2020,Business,1st,ME,Medical,"BTC,NFT,DOGE",trade,+,1,+,,friends,N,N
1970,online,2022,Business,2nd,South America,Medical,"BTC,NFT",remittance,++,1-3,,25,marketing,N,N
1971,f2f,2021,STEM,MSc,Europe,Finance,,trade,+++,4-5,++,,study/research,Y,Y
1972,f2f,2024,STEM,3rd,South America,Technology,"BTC,NFT","remittance,trans",+++,11,,100,study/research,Y,Y
1973,online,2024,Humanities,PhD,South America,Medical,"BTC,ALT","remittance,trans",++,1-3,,50,family,N,Y
1974,online,2021,Business,MSc,China,Technology,"BTC,ETH","trade,remittance",+++,5+,,,family,Y,N
1975,online,2023,Humanities,2nd,Turkey,Retail,"NFT,ALT",trade,+++,1,+,,study/research,N,N
1976,f2f,2021,STEM,PhD,Africa,Engineering,"BTC,ETH",trade,+++,5+,+++,,friends,Y,N
1977,f2f,2020,Business,MSc,ME,,"ETH,ALT",trade,++,5+,+,,marketing,Y,Y
1978,online,2021,Business,MSc,Turkey,Technology,DOGE,"trade,remittance",+++,1-3,++,25,study/research,Y,Y
1979,online,2023,Humanities,3rd,USA,Technology,,"remittance,trans",++,4-5,,50,study/research,Y,N
1980,online,2022,Humanities,MSc,Europe,Finance,"ETH,ALT",remittance,+,1-3,,25,marketing,Y,Y
1981,f2f,2021,Humanities,1st,Africa,,"BTC,NFT",trade,+,1-3,,,marketing,Y,Y
1982,f2f,2021,STEM,PhD,Turkey,Engineering,NFT,trade,+++,1-3,,,study/research,Y,N
1983,online,2022,STEM,2nd,India,Medical,"NFT,ALT",remittance,++,1-3,,100,friends,Y,Y
1984,online,2023,STEM,MSc,China,Technology,BTC,"trade,remittance",+++,4-5,+,25,family,Y,N
1985,online,2024,STEM,MSc,South America,Engineering,"BTC,NFT","trade,remittance",+++,1-3,++,,study/research,Y,Y
1986,online,2020,Business,1st,USA,Legal,"BTC,ALT",remittance,+++,1-31-3,,75,marketing,N,Y
1987,online,2022,Business,3rd,Turkey,Public,,"remittance,trans",+++,5+,,100,friends,Y,Y
1988,online,2024,STEM,2nd,China,Engineering,BTC,remittance,++,4-5,,75,friends,Y,N
1989,online,2023,Humanities,Phd,Europe,Finance,"BTC,DOGE","remittance,trans",++,1,,25,family,N,Y
1990,online,2022,Humanities,1st,India,Public,BTC,"remittance,trans",+++,1,,50,study/research,Y,Y
1991,f2f,2020,Humanities,3rd,USA,Technology,ETH,"remittance,trans",+++,11,,50,family,Y,Y
1992,online,2021,STEM,PhD,Africa,Medical,BTC,"trade,remittance",+++,1,-,100,family,Y,Y
1993,online,2023,STEM,MSc,ME,,"ETH,NFT,ALT",trade,+,1-3,--,,friends,N,N
1994,online,2021,Business,PhD,Turkey,Technology,"ETH,DOGE","remittance,trans",+++,,,25,study/research,Y,N
1995,online,2021,Humanities,PhD,USA,Legal,DOGE,trade,+,1,--,,friends,Y,Y
1996,online,2024,STEM,3rd,India,,"BTC,ETH",remittance,+,1,,75,marketing,Y,Y
1997,online,2021,STEM,2nd,Africa,Finance,"BTC,ETH",trade,+,1,--,,marketing,Y,Y
1998,online,2024,STEM,PhD,Europe,Technology,ALT,"remittance,trans",++,1-3,,75,friends,N,Y
1999,online,2020,Business,3rd,China,,"BTC,ETH",remittance,+++,1,,75,friends,N,Y
2000,online,2020,Business,MSc,Europe,Finance,"BTC,ETH,NFT",trade,+++,5+,++,,friends,N,Y
2001,online,2024,Business,1st,USA,Retail,"BTC,ALT","remittance,trans",++,4-5,,50,study/research,N,N
2002,online,2024,Business,1st,China,Retail,BTC,"remittance,trans",+++,1,,100,family,N,Y
2003,online,2024,Humanities,3rd,South America,Finance,"BTC,ETH,ALT","remittance,trans",+++,4-5,,75,family,N,Y
2004,online,2021,STEM,MSc,Europe,Public,"ETH,ALT","remittance,trans",++,5+,,25,study/research,Y,Y
2005,online,2021,STEM,PhD,China,Finance,NFT,"trade,remittance",+++,4-5,,25,family,N,Y
2006,f2f,2021,STEM,PhD,UK,Engineering,"ETH,ALT",trade,+++,1-3,-,,study/research,N,Y
2007,online,2024,STEM,3rd,South America,Medical,"ETH,DOGE",remittance,++,1-3,,25,friends,Y,Y
2008,f2f,2020,STEM,MSc,USA,Technology,"BTC,ETH,ALT",remittance,++,,,100,marketing,Y,Y
2009,f2f,2021,Business,MSc,ME,Engineering,DOGE,trade,+++,1-3,+++,,study/research,Y,Y
2010,online,2021,Humanities,MSc,South America,Legal,"BTC,NFT,DOGE",trade,+,1,--,,friends,Y,N
